Trans,GP#,Status,Inv Status,Pkg ID,GTD Bal,Orig Fee,Note DT,Loan Age,Matures,Orig Mos,Mat Mos,Paid To,Sell Ratio,Sell Value,Borrower,Street Addr,City/State,NAICS,Gross Cpn,NetCpn,Adjust,Pays,Basis,Orig Lender,NAICS PRE,GEO
315248.11,1244669106,Tentative,Available,966,3609681.22,2.355,44404,22,53554,300,279,45016,2.97,252473.7384,Marysville Hotels LLC,16610 Square Drive,"Marysville, OH 43040",721110,2,0.875,Q,M,365/365,"Home Loan Investment Bank, FSB",72,OH
316330.11,1748419105,Tentative,Available,966,3678438.83,2.355,44483,19,53646,300,282,45027,2.97,257282.8863,"Kyrapolis LLC, Skyscape Hospitality LLC",7435 Northside Dr,"North Charleston, SC 29420",721110,2,0.875,Q,M,365/365,First Chatham Bank,72,SC
316331.11,1683789109,Tentative,Available,966,3648077.32,2.355,44484,19,53646,300,282,45027,2.97,255159.296,Devi Hospitality LLC,414 Grey Street,"Pooler, GA 31322",721110,2,0.875,Q,M,365/365,First Chatham Bank,72,GA
316384.11,1647109107,Tentative,Available,966,3669460.38,3.105,44498,19,53646,300,282,45014,2.97,338392.1321,"Cortlandt Racquet Club, Inc. dba Premier Athletic Club",2127 Albany Post Rd,"Montrose, NY 10548",713940,2.75,1.625,Q,M,30/360,"Newtek Small Business Finance, Inc.",71,NY
318203.11,1174649104,Tentative,Available,966,375389.3,3.105,44386,22,53554,300,279,44972,2.97,34617.83816,DW Marine LLC dba Dustin Woy and Michelle Woy,1255 Boot Dr.,"Camdenton, MO 65020",811490,2.75,1.625,Q,M,30/360,OakStar Bank,81,MO
318313.11,6870888901,Tentative,Available,966,3666846.09,2.605,44496,19,53646,300,282,45021,2.97,283698.3817,Ammo International Inc,400 Martin Luther King Jr Way,"New Britain, CT 06051",423610,2.25,1.125,Q,M,365/365,FinWise Bank aka Utah Community Bank,42,CT
319161.11,6541748501,Tentative,Available,966,1569599.77,3.105,44279,26,53888,315,290,45039,2.97,144746.1364,"Frutilandia Products, LLC",3684 E Redfield,"Gilbert, AZ 85234",445298,2.75,1.625,Q,M,365/365,Celtic Bank,44,AZ
319320.11,1793379105,Tentative,Available,966,1000839.57,3.105,44476,19,53766,304,286,45019,2.97,92295.92389,Impact Learning Center LLC,2468 Atlantic Blvd,"Jacksonville, FL 32207",624410,2.75,1.625,Q,M,365/365,Stone Bank,62,FL
319364.11,1052189110,Tentative,Available,966,2396910.72,2.355,44372,23,53523,300,278,45021,2.97,167648.3249,"A & J Hospitality, Inc.",275 NE 12th Street,"Ontario, OR 97914",721110,2,0.875,Q,M,365/365,Santa Cruz County Bank,72,OR
319385.11,1146239102,Tentative,Available,966,210471.03,3.005,44377,23,53523,300,278,45021,2.97,18784.22372,SLPM Properties LLC,115 Salem Towne Ct.,"Apex, NC 27502",541211,2.65,1.525,Q,M,365/365,Live Oak Banking Co.,54,NC
319488.11,3094038504,Tentative,Available,966,96383.44,3.105,44259,26,53432,300,275,45018,2.97,8888.336262,Certified Towing Inc.,204 N Johnson St.,"Newark, IL 60541",488410,2.75,1.625,Q,M,365/365,The Huntington National Bank,48,IL
319747.11,1444709110,Tentative,Available,966,525996.63,2.855,44510,18,53676,300,283,45026,2.97,44601.09525,"Saber Properties, LLC",13292 Cone St,"Nunica, MI 49448",811192,2.5,1.375,Q,M,365/365,Celtic Bank,81,MI
319760.11,1546709100,Tentative,Available,966,2560493.94,2.605,44477,19,53646,300,282,45026,2.97,198101.5754,"Premier Architectural Products, LLC",625 S Railroad St.,"Montgomery, IL 60538",321918,2.25,1.125,Q,M,365/365,Busey Bank,32,IL
319847.11,1396069102,Tentative,Available,966,1013751.77,2.855,44439,21,53766,306,286,44968,2.97,85959.56071,Platinum Beauty Bar & Spa LLC,"1900 Parker Rd., SE","Conyers, GA 30094",812112,2.5,1.375,Q,M,365/365,Citizens Bank FAO Acclivity Financia,81,GA
320025.11,9870409004,Tentative,Available,966,1804465.87,2.355,44363,23,53888,312,290,45018,2.97,126210.6586,Tollison Property Holdings LLC & Premier Pet Lodge LLC,33 W Lambert Lane,"Francis, UT 84036",812910,2,0.875,Q,M,365/365,Citizens Bank FAO Acclivity Financia,81,UT
320093.11,1429699100,Tentative,Available,966,1343099.85,3.105,44491,19,53646,300,282,45017,2.97,123858.6535,Jae Wook Shin D.M.D. P.C.,222 West 14 Street Unit D,"New York, NY 10011",621210,2.75,1.625,Q,M,365/365,United Midwest Savings Bank,62,NY
320184.11,1629669107,Tentative,Available,966,1345329.48,3.105,44469,20,53950,311,292,45035,2.97,124064.2667,Saenz Vasquez Family LLC,12321 W Baseline RD,"Mesa, AZ 85202",722513,2.75,1.625,Q,M,365/365,Celtic Bank,72,AZ
320303.11,2582449107,Tentative,Available,966,261025.34,3.105,44558,17,54103,313,297,45026,2.97,24071.36532,Ross Learning Academy Childcare,"200 Connell Dr., Suite 4000","Riverdale, GA 30296",624410,2.75,1.625,Q,M,365/365,"ReadyCap Lending, LLC",62,GA
320346.11,1561139104,Tentative,Available,966,3709228.13,2.355,44508,18,54103,314,297,45023,2.97,259436.3977,"Danico Brewing Company, LLC",PO Box 630504,"Littleton, CO 80163",312120,2,0.875,Q,M,365/365,Celtic Bank,31,CO
320349.11,1678239103,Tentative,Available,966,1863687.23,2.605,44512,18,54041,312,295,45021,2.97,144190.6855,"Jess Jewelry Designs, Inc. ",7855 Kenwood Rd.,"Cincinnati, OH 45236",339910,2.25,1.125,Q,M,365/365,First Commonwealth Bank,33,OH
320368.11,1818799110,Tentative,Available,966,2538276.62,2.355,44539,17,54072,312,296,45010,2.97,177535.9508,"Coyote Hole Ciderworks, LLC.",449 Oak Grove Drive,"Mineral, VA 23117",312130,2,0.875,Q,M,30/360,"Blue Ridge Bank, NA",31,VA
320508.11,1323469103,Tentative,Available,966,1498528.05,3.105,44433,21,53676,303,283,45017,2.97,138192.009,Le Rive Gauche LLC dba Left Bank Pastry,1941-1943 4th Ave E.,"Olympia, WA 98506",722513,2.75,1.625,Q,M,365/365,Citizens Bank FAO Acclivity Financia,72,WA
320519.11,4077109108,Tentative,Available,966,1563300,2.555,44720,11,53888,300,290,45037,2.97,118628.6756,"2102 Central Avenue, LLC (EPC) / Arts Sand Bar, LLC (OC)",2102 Central Ave,"Seaside Park, NJ 08752",722511,2.75,1.075,Q,M,30/360,Magyar Bank,72,NJ
320567.11,1329639107,Tentative,Available,966,3686587.65,2.355,44538,17,54132,314,298,,2.97,257852.8433,Butler Windows & Doors Inc.,PO Box 11806,"Roanoke, VA 24022",444190,2,0.875,Q,M,365/365,Dogwood State Bank,44,VA
320586.11,2647579004,Tentative,Available,966,175003.37,3.105,44341,24,53493,300,277,45034,2.97,16138.54828,Sense Wellness Clinic LLC,"2830 E. Brown Rd, Suite 9","Mesa, AZ 85213",621111,2.75,1.625,Q,M,365/365,MVB Bank,62,AZ
320632.11,3071769101,Tentative,Available,966,185177.55,3.105,44608,15,53766,300,286,45035,2.97,17076.79589,"Hornung Funeral Services, LLC ",1212 W 2nd Street,"Liberal, KS 67901",812210,2.75,1.625,Q,M,365/365,United Midwest Savings Bank,81,KS
321134.11,3420189103,Tentative,Available,966,983981.92,2.555,44637,14,53950,305,292,,2.97,74667.99203,"Saweres Enterprises, Inc.",14450 Regency Dr.,"Strongsville, OH  44149",722513,2.75,1.075,Q,M,365/365,First Bank,72,OH
321160.11,3961819105,Tentative,Available,966,4486841.5,2.555,44697,12,53858,300,289,,2.97,340477.237,"The Jungle Nursery, Inc.",29180 SW 162nd Ave,"Homestead, FL 33033 ",111421,2.75,1.075,Q,M,365/365,ByLine Bank,11,FL
317730.11,2869589100,Tentative,Available,973,3688161.58,2.055,44560,17,53707,300,284,45018,2.97,225101.4098,Park Capital ACQ LLC,401 N Lakeshore Drive,"Lake Charles, LA 70601",721110,2.25,0.575,Q,M,365/365,Celtic Bank,72,LA
