Govt Loan #,"Notional Gtd
Balance",Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS,Originator
4352899106,306600,28700.83,0.0275,0.0253,3.7,0.09361,44861,54175,Homestead Kitchen LLC,Reidsville,NC,27320,722511,Bank of Oak Ridge
3795209103,174745.68,16357.94,0.0275,0.0253,3.7,0.09361,44669,54166,LFS Management LLC and 7twenty6 Brewing Co,Leland,NC,28451,424810,Citizens Bank
4912019110,286875,26854.37,0.0275,0.0253,3.7,0.09361,45013,54153,Pelican Tempe Holdings LLC,Tempe,AZ,85281,561790,Harvest Small Business Finance LLC
4915979100,375000,24697.5,0.02,0.0178,3.7,0.06586,45016,54148,"Dale's Gas Appliance Repair, Inc.",Winter Park,FL,32792,238220,Berkshire Bank
4929629101,243750,16053.38,0.02,0.0178,3.7,0.06586,45016,54148,"Eastside Services, LLC",Winter Park,FL,32792,236118,Berkshire Bank
4949079110,500250,27393.69,0.0225,0.0148,3.7,0.05476,45013,54148,FUTURE DAYS LLC,Portland,OR,97212,722511,"VelocitySBA, LLC"
4913519109,1191000,21152.16,0.0125,0.0048,3.7,0.01776,45002,54147,DESAI HOTELS LLC,Center,TX,75935,721110,ReadyCap Lending LLC
4942309104,3750000,31912.5,0.01,0.0023,3.7,0.00851,45015,54147,Parth Lodging LLC dba Days Inn Harrisburg North,Harrisburg,PA,17110,721110,Republic Bank
4947809100,3112500,55278,0.0125,0.0048,3.7,0.01776,45015,54147,ISHAKAUR PROPERTIES LLC,Roanoke,VA,24019,721110,G Bank
4950749107,2185050.93,38806.5,0.0125,0.0048,3.7,0.01776,45015,54147,Bennettsville Investment Group LLC,Bennettsville,SC,29512,721110,G Bank
4459609100,1282875,58383.64,0.02,0.0123,3.7,0.04551,45014,54146,Markham Mini Mart Inc,Markham,IL,60428,457110,Merchants Bank of Indiana
4923569106,367875,24228.25,0.02,0.0178,3.7,0.06586,45014,54146,"Locker Room Mondovi, LLC",Mondovi,WI,54755,458110,Citizens Community Federal NA
4939679109,562275,25589.14,0.02,0.0123,3.7,0.04551,45014,54146,"JBGH Properties, LLC and J Bernat Corporation DBA Bernat Landscaping and K M Bernat Construction Inc",Homer Glen,IL,60491,561730,Grasshopper Bank
4459719109,1136625,51727.8,0.02,0.0123,3.7,0.04551,45013,54145,"Palos Gas Mart, Inc.",Palos Hills,IL,60463,457110,Merchants Bank of Indiana
4912419101,471750,21469.34,0.02,0.0123,3.7,0.04551,45013,54145,"ProCare Rentals LLC; ProCare Pest Services LLC; John Carl Ely, III",Marietta,GA,30066,561710,Renasant Bank
4861149102,127500,10755.9,0.025,0.0228,3.7,0.08436,45012,54144,"Atlanta Sports and Injury Center for Rehab, LLC",Riverdale,GA,30274,621340,The First Bank
4903239104,2312250,62453.87,0.015,0.0073,3.7,0.02701,45005,54140,COLUMBIA MOTELS INC,Reynoldsburg,OH,43068,721110,ReadyCap Lending LLC
4812249101,280500,30668.47,FXD,0.02955,3.7,0.109335,45006,54138,Jorge J Nerio Jr dba 5 Star Welding ,Fort Worth ,TX,76104,811310,Dogwood State Bank
4185289102,291750,22021.29,0.0275,0.0204,3.7,0.07548,44764,54133,Murray Hill Gym LLLP,Jacksonville,FL,32205,611620,Harvest Small Business Finance LLC
4099119101,421875,12331.41,0.015,0.0079,3.7,0.02923,44987,54119,1721 s water LLC,Philadelphia,PA,19148,561730,Republic Bank
4795679109,1450500,25760.88,0.0125,0.0048,3.7,0.01776,44980,54111,SB2 Corp,Isleton,CA,95641,445131,G Bank
4535359100,588750,43131.83,0.0275,0.0198,3.7,0.07326,44925,54056,VALERIE MARTINEK,Hartford,TN,53027,722410,Byline Bank
2704979101,367157.54,27713.05,0.0275,0.0204,3.7,0.07548,44551,53956,"Alaska Industrial Paint, LLC",Anchorage,AK,99501,238320,"Newtek Small Business Finance, LLC"
4261149109,123710.38,8147.57,0.02,0.0178,3.7,0.06586,44804,53935,"Southwest MO Investments, LLC",Reeds,MO,64859,445120,Old Missouri Bank
3999889110,690000,66760.95,0.02,0.02615,3.7,0.096755,44748,52418,Texas Grinders Houston II LLC,Jersey Village,TX,77065,722513,Apple Federal Credit Union
4788509106,570375,41024.22,0.015,0.02055,3.5,0.071925,44959,51168,F&S Crows Mills Reality,Keasbey,NJ,8832,484110,Apple Federal Credit Union
4208839105,342256.57,40309.27,0.0275,0.03365,3.5,0.117775,44803,51104,Larry's Home Solution LLC,Kannapolis,NC,28083,238990,Apple Federal Credit Union
4880189109,163500,19004.42,0.03,0.04305,2.7,0.116235,45016,48669,MReynolds LLC dba Rise Wellness Lounge,Colorado Springs,CO,80906,812990,"Newtek Small Business Finance, LLC"
4857279103,262500,30511.69,0.03,0.04305,2.7,0.116235,45015,48668,"F D MILLER FEED & SUPPLY, LLC ",Shipshewana,IN,4656,444240,"Newtek Small Business Finance, LLC"
4887009104,127500,14819.96,0.03,0.04305,2.7,0.116235,45015,48668,123FED LLC dba Shore House Bar & Grill,Long Beach,NY,11561,722511,"Newtek Small Business Finance, LLC"
4889469106,262500,30511.69,0.03,0.04305,2.7,0.116235,45015,48668,"ARCH ANGEL SERVICES, CORP.",Chicago,IL,60606,621330,"Newtek Small Business Finance, LLC"
4890569109,127500,14819.96,0.03,0.04305,2.7,0.116235,45015,48668,Factotum Coffee LLC,Chicago,IL,60639,311920,"Newtek Small Business Finance, LLC"
4892909108,85000,9879.98,0.03,0.04305,2.7,0.116235,45015,48668,Cali Nails,San Antonio,TX,78217,812113,"Newtek Small Business Finance, LLC"
4845689100,127500,14819.96,0.03,0.04305,2.7,0.116235,45014,48667,Precedence Enterprises LLC dba Spartan Junk Removal          ,Laurel,MD, 20707,562111,"Newtek Small Business Finance, LLC"
4880539107,42500,4939.99,0.03,0.04305,2.7,0.116235,45014,48667,White Mountain Agency,Los Angeles,CA,90020,711410,"Newtek Small Business Finance, LLC"
4883689101,375000,43588.13,0.03,0.04305,2.7,0.116235,45014,48667,CITY TO CITY COURIERS B&B EXPRESS,Indian Land,SC,29707,492110,"Newtek Small Business Finance, LLC"
4897639109,127500,14819.96,0.03,0.04305,2.7,0.116235,45014,48667,Blue Point USA LLC,Orlando,FL,32801,425120,"Newtek Small Business Finance, LLC"
4847749109,63750,7409.98,0.03,0.04305,2.7,0.116235,45013,48666,Phuong Thi Diem Tran dba U.S. NAILS                    ,Dunkirk,MD, 20754,812113,"Newtek Small Business Finance, LLC"
4861669105,187500,21794.06,0.03,0.04305,2.7,0.116235,45013,48666,BEACHY BUILDINGS LLC          ,Wichita,KS, 67204,238990,"Newtek Small Business Finance, LLC"
4867119105,150000,17435.25,0.03,0.04305,2.7,0.116235,45013,48666,SHS Construction Services LLC ,Lancaster,SC, 29720,236210,"Newtek Small Business Finance, LLC"
4877499107,172050,19998.23,0.03,0.04305,2.7,0.116235,45013,48666,"Lunar Door , LLC              ",Lampasas,TX, 76550,711510,"Newtek Small Business Finance, LLC"
4880159100,243750,28332.28,0.03,0.04305,2.7,0.116235,45013,48666,DH and AP Enterprises Inc,Bloomington,IN,474088,722513,"Newtek Small Business Finance, LLC"
4859009107,79900,9287.18,0.03,0.04305,2.7,0.116235,45012,48665,Badfish Coffee & Tea          ,Orangevale,CA,95662,722513,"Newtek Small Business Finance, LLC"
4880359101,127500,14819.96,0.03,0.04305,2.7,0.116235,45012,48665,"JEST WARNING LIGHTS, LLC",Bastrop,TX,78602,811111,"Newtek Small Business Finance, LLC"
4885869100,375000,43588.13,0.03,0.04305,2.7,0.116235,45012,48665,KT SUPPLY LLC,Fort Lee,NJ,7024,423990,"Newtek Small Business Finance, LLC"
4889489101,85000,9879.98,0.03,0.04305,2.7,0.116235,45012,48665,"MOORE CHIROPRACTIC CENTER, P.A.",Windham,ME,4062,621310,"Newtek Small Business Finance, LLC"
4899479102,85000,9879.98,0.03,0.04305,2.7,0.116235,45012,48665,Green House Education Inc,Hutto,TX,78634,624410,"Newtek Small Business Finance, LLC"
4762829110,232500,27024.64,0.03,0.04305,2.7,0.116235,45009,48662,Precision Armory Nevada LLC,Las Vegas,NV,89113,459110,"Newtek Small Business Finance, LLC"
4843399103,168750,19614.66,0.03,0.04305,2.7,0.116235,45009,48662,Unique Golf LLC               ,West Islip,NY,11795,459110,"Newtek Small Business Finance, LLC"
4862699105,262500,30511.69,0.03,0.04305,2.7,0.116235,45009,48662,"The Mohr Group, LLC           ",Riverview,FL,33579,541618,"Newtek Small Business Finance, LLC"
4880579108,85000,9879.98,0.03,0.04305,2.7,0.116235,45009,48662,A & J Variety inc,Toms River,NJ,8755,452990,"Newtek Small Business Finance, LLC"
