Trans,GP#,Status,Inv Status,Pkg ID,GTD Bal,Orig Fee,Note DT,Loan Age,Matures,Orig Mos,Mat Mos,Paid To,Sell Ratio,Sell Value,Borrower,Street Addr,City/State,NAICS,Gross Cpn,NetCpn,Adjust,Pays,Net Cap,Net Flr,Basis,Orig Lender,Cert,NAICS PRE,GEO
317859.11,947 722 8104,Actual,Long Maturity,402,604687.63,2.405,44099,33,49597,181,148,45051,2.8,40719.665,HexaGroup Ltd.,3411 Mount Vernon St.,"Houston, TX 77006",541519,1.75,-2.35,Q,M,,,365/365,b1BANK,398074,54,TX
319846.11,768 064 8206,Actual,Long Maturity,402,3684423.26,0.48,44092,33,53250,301,268,45064,2.8,49518.64861,"Spa Forest, Inc.",6432 General Green Way,"Alexandria, VA 22312",812112,1.5,-0.675,Q,M,,,30/360,NewBank,402149,81,VA
318926.11,949 459 8210,Actual,Long Maturity,402,1396521.4,1.73,44195,30,53797,316,286,45076,2.8,67647.49662,Jung's LLC,1110 E Battlefield,"Springfield, MO 65807",722511,2.75,-0.675,Q,M,,,30/360,OakStar Bank,402152,72,MO
319721.11,901 944 8201,Actual,Long Maturity,402,673473.12,1.73,44168,30,53462,305,275,45056,2.8,32623.03793,"Head to Toe Healthy Spa, Inc.",306 East Springfield Rd.,"Springfield, PA 19064",812112,2.75,-0.675,Q,M,,,30/360,"Fulton Bank, N.A. (PA)",402150,81,PA
315103.11,940 484 8210,Actual,Long Maturity,402,2984626.24,2.905,44202,29,53373,301,272,45051,2.8,242769.4984,"Sober Living Solutions, LLC",2528 W. Palmetto Street,"Florence, SC 29501",623220,2.25,-2.35,Q,M,,,365/365,FinWise Bank aka Utah Community Bank,400073,62,SC
321090.11,959 691 8200,Actual,Long Maturity,402,917204.75,1.23,44225,29,53554,307,278,45068,2.8,31588.53159,EFD Properties LLC,314 N York Street,"Elmhurst, IL 60126",621210,2.75,-0.175,Q,M,,,365/365,Live Oak Banking Co.,415578,62,IL
318781.11,744 128 8404,Actual,Long Maturity,402,1674010.12,1.03,44253,28,53797,314,286,45041,2.8,48278.45186,Texpress Car Wash Stephenville LLC,"3700 Rufe Snow Dr, Ste 300","North Richland Hills, TX 76180",811192,2,-0.175,Q,M,,,365/365,Celtic Bank,415576,81,TX
319076.11,879 152 8202,Actual,Long Maturity,402,2093183.18,0.98,44231,28,53585,307,279,45047,2.8,57436.94646,Twin City Island Spirits Inc. dba Scion Farm Distillery,Plot 4 - G Estate Sion Farm,"Queens Quarter, St. Croix, VI 00820",312140,2.5,-0.175,Q,M,,,365/365,Stone Bank,415577,31,VI
319532.11,910 248 8203,Actual,Long Maturity,402,355174.2,1.73,44230,28,53766,313,285,45047,2.8,17204.63825,Little Angels Daycare,4551 Summit Blvd,"West Palm Beach, FL 33415",624410,2.75,-0.675,Q,M,,,30/360,"Newtek Small Business Finance, Inc.",402151,62,FL
315600.11,708 948 8405,Actual,Long Maturity,402,154699.12,2.28,44265,27,53615,307,280,45084,2.8,9875.991821,Beyond The Trail RV Park LLC,2880 Highway 94,"Defiance, MO 63341",721211,0,-0.675,Q,M,,,365/365,Fortune Bank,375127,72,MO
319668.11,811 172 8505,Actual,Long Maturity,402,681278.78,1.03,44264,27,53615,307,280,45072,2.8,19648.08002,Skelton's Runway,,"Alpine, TX 79830",445120,2.5,0.325,Q,M,,,365/365,"TransPecos Banks, SSB",406759,44,TX
320270.11,373 696 7007,Actual,Long Maturity,402,2201545.27,0.73,44278,27,53707,310,283,45054,2.8,44999.58532,c4bullsboro inc ,250 Bullsboro Dr.,"Newnan, GA 30263",457110,2.25,-0.175,Q,M,,,365/365,Citizens Bank FAO Acclivity Financia,415559,45,GA
319518.11,465 622 8706,Actual,Long Maturity,402,1129583.66,1.78,44314,26,53646,307,281,45051,2.8,56298.44961,Sea Dog Animal Training LLC,17210 Country Brook Lane,"Houston, TX 77095             ",812910,2.25,-0.675,Q,M,,,365/365,Texas Advantage Community Bank,402147,81,TX
320043.11,305 142 8808,Actual,Long Maturity,402,2385506.69,1.53,44316,26,53919,316,290,45048,2.8,102195.1066,"1971 Marietta Blvd, LLC & Tire Runner, Inc & Tire South Inc ",1971 Marietta Blvd.,"Atlanta, GA 30318",441320,2.5,-0.175,Q,M,,,365/365,First Savings Bank,415557,44,GA
320187.11,344 946 7203,Actual,Long Maturity,402,513678.52,0.73,44314,26,53919,316,290,45082,2.8,10499.58895,"Joyce's Learning Center (2), LLC",621 Kraft Ave ,"Panama City, FL 32401",624410,2.75,0.325,Q,M,,,365/365,CRF Small Business Loan Co. LLC,406738,62,FL
320273.11,107 514 8704,Actual,Long Maturity,402,362311.14,1.28,44291,26,53462,301,275,45045,2.8,12985.23126,Styles by Cortney V LLC,4007 Garrett Rd,"Drexel Hill, PA 19026",812112,2.75,0.325,Q,M,,,30/360,Firstrust Bank,406729,81,PA
319819.11,288 788 8605,Actual,Long Maturity,402,2630753.83,1.03,44329,25,54041,319,294,45047,2.8,75870.94046,D-Block LLC and The Wet Side Car Wash LLC,499 State Highway 36,"Port Monmouth, NJ 07758",811192,2,-0.175,Q,M,,,365/365,WSFS Bank,415556,81,NJ
