 Originator ,Govt Loan #,"Notional Gtd
Balance",Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS
 Lake Michigan Credit Union ,4180789100," 626,245.66 "," 23,767.59 ",2.750%,1.615%,2.350,3.795%,7/20/2022,7/20/2032,"Peerbasics, LLC",Riverview,FL,33578,454390
 Five Star Bank ,3479279100," 472,500.00 "," 38,752.09 ",2.750%,3.490%,2.350,8.202%,4/20/2022,10/20/2032,"DB Winter Park, LLC                     ",Orlando,FL,32814,812112
 Truist Bank ,1169249108," 686,755.40 "," 62,214.89 ",2.750%,3.855%,2.350,9.059%,6/30/2021,6/30/2037,CRESCENT CITY SYSTEMS INC,MANDEVILLE,LA,70448,561499
 ReadyCap Lending LLC ,1978259100," 426,367.24 "," 32,868.65 ",2.250%,2.965%,2.600,7.709%,10/28/2021,7/28/2047,"RXBSA PROPERTIES, LLC",INDIAN HEAD,MD,20640,531110
 ReadyCap Lending LLC ,1030569105," 2,218,500.00 "," 44,991.18 ",1.750%,0.780%,2.600,2.028%,7/6/2021,9/8/2047,"JSD MARKET, LLC",Sheridan,OR,97378,447110
 First Bank ,1345759108," 394,113.97 "," 18,239.59 ",2.750%,1.780%,2.600,4.628%,9/29/2021,12/30/2046,Kut City Barber Shop LLC,COLUMBUS,OH,43201,812111
 The State Bank and Trust Company ,1382709103," 972,736.87 "," 26,049.89 ",2.000%,1.030%,2.600,2.678%,10/6/2021,10/6/2046,"Dupont Family Holdings, LLC",Fort Wayne,IN,46845,722513
 ConnectOne Bank ,1450899106," 2,506,847.38 "," 34,544.36 ",1.500%,0.530%,2.600,1.378%,8/26/2021,5/26/2047,30 East PAL Ave LLC,Englewood,NJ,07631,722511
 Merchants Bank of Indiana ,3438369107," 1,734,092.75 "," 117,311.37 ",1.500%,2.255%,3.000,6.765%,3/3/2022,3/3/2047,Rhino Realty LLC/Gulley LLC,Oswego,IL,60543,722511
 Evolve Bank & Trust ,3827189105," 1,739,303.35 "," 51,135.52 ",2.500%,0.980%,3.000,2.940%,4/21/2022,4/21/2047,Captain Car Wash 1,Norristown,PA,19403,531120
 Small Business Bank ,3887969105," 375,000.00 "," 3,262.50 ",1.750%,0.290%,3.000,0.870%,4/19/2022,4/19/2048,Total Construction,Kansas City,MO,64110,238990
 First Bank ,9871389002," 495,151.91 "," 22,915.63 ",2.750%,1.780%,2.600,4.628%,6/10/2021,4/14/2047,"American Shade, Inc",Mooresville,NC,28115,441310
 Exchange Bank ,4319199106," 2,891,250.00 "," 15,057.63 ",2.000%,0.155%,3.360,0.521%,9/22/2022,9/30/2047,New Vista Recovery Inc dba Mountain Vista Farms,Glen Ellen,CA,95442,622210
 Patriot Bank ,4139789109," 297,000.00 "," 14,769.22 ",2.750%,1.480%,3.360,4.973%,11/2/2022,11/2/2047,"Duckweed Holdings LLC dba Duckweed, Inc.",Tampa,FL,33602,445110
 Patriot Bank ,4140609109," 193,500.00 "," 9,622.37 ",2.750%,1.480%,3.360,4.973%,11/2/2022,11/2/2047,"Duck Offices, LLC dba Duckweed, Inc ",Tampa,FL,33602,531120
 FinWise Bank ,4256069104," 2,513,811.54 "," 61,658.77 ",2.000%,0.730%,3.360,2.453%,10/6/2022,10/6/2047,Reserve Confections Inc.,Wappingers Falls,NY,12590,424990
 Legence Bank ,4257499106," 3,750,000.00 "," 60,480.00 ",1.750%,0.480%,3.360,1.613%,10/26/2022,10/26/2047,Titan Hospitality LLC,West Chester,OH,45069,721110
 Commercial Bank of California ,4284399106," 1,685,600.24 "," 13,026.32 ",1.500%,0.230%,3.360,0.773%,10/12/2022,10/17/2047,Jai Kuber Hospitality,San Antonio,TX,78222,721110
 Pacific Premier Bank ,4325629100," 1,933,500.00 "," 14,942.09 ",1.500%,0.230%,3.360,0.773%,10/12/2022,10/18/2047,"SIMONIAN, HARMIK",Glendale,CA,91202,811111
 Farmers State Bank of Alto Pass ,4317099107," 3,750,000.00 "," 123,480.00 ",2.250%,0.980%,3.360,3.293%,11/3/2022,11/3/2047,Laxmi Wolfchase LLC,Germantown,TN,38139,721110
 Newtek Small Business Finance ,4289599106," 546,942.94 "," 27,198.38 ",2.750%,1.480%,3.360,4.973%,10/13/2022,10/13/2047,"A&R Marine, LLC dba Cape Romian Marine         ",McClennanville,SC,29458,441222
