Govt Loan #,Notional Gtd Balance,Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS
2704979101,367157.54,27713.05,0.0275,0.0204,3.7,0.07548,44551,53956,"Alaska Industrial Paint, LLC",Anchorage,AK,99501,238320
3795209103,174745.68,16357.94,0.0275,0.0253,3.7,0.09361,44669,54166,LFS Management LLC and 7twenty6 Brewing Co,Leland,NC,28451,424810
3999889110,690000,63152.25,0.02,0.02615,3.5,0.091525,44748,52418,Texas Grinders Houston II LLC,Jersey Village,TX,77065,722513
4099119101,421875,12331.41,0.015,0.0079,3.7,0.02923,44987,54119,1721 s water LLC,Philadelphia,PA,19148,561730
4185289102,291750,22021.29,0.0275,0.0204,3.7,0.07548,44764,54133,Murray Hill Gym LLLP,Jacksonville,FL,32205,611620
4208839105,342256.57,40309.27,0.0275,0.03365,3.5,0.117775,44803,51104,Larry's Home Solution LLC,Kannapolis,NC,28083,238990
4261149109,123710.38,8147.57,0.02,0.0178,3.7,0.06586,44804,53935,"Southwest MO Investments, LLC",Reeds,MO,64859,445120
4352899106,306600,28700.83,0.0275,0.0253,3.7,0.09361,44861,54175,Homestead Kitchen LLC,Reidsville,NC,27320,722511
4459609100,1282875,58383.64,0.02,0.0123,3.7,0.04551,45014,54146,Markham Mini Mart Inc,Markham,IL,60428,457110
4459719109,1136625,51727.8,0.02,0.0123,3.7,0.04551,45013,54145,"Palos Gas Mart, Inc.",Palos Hills,IL,60463,457110
4514019104,866590.23,39438.52,0.025,0.0123,3.7,0.04551,44880,54011,"THE CAR WASH PORT TOWNSEND, LLC",PORT TOWNSEND,WA,98368,811192
4535359100,588750,43131.83,0.0275,0.0198,3.7,0.07326,44925,54056,VALERIE MARTINEK,Hartford,TN,53027,722410
4788509106,570375,41024.22,0.015,0.02055,3.5,0.071925,44959,51168,F&S Crows Mills Reality,Keasbey,NJ,8832,484110
4795679109,1450500,25760.88,0.0125,0.0048,3.7,0.01776,44980,54111,SB2 Corp,Isleton,CA,95641,445131
4812249101,280500,30668.47,FXD,0.02955,3.7,0.109335,45006,54138,Jorge J Nerio Jr dba 5 Star Welding ,Fort Worth ,TX,76104,811310
4903239104,2312250,62453.87,0.015,0.0073,3.7,0.02701,45005,54140,COLUMBIA MOTELS INC,Reynoldsburg,OH,43068,721110
4912019110,286875,26854.37,0.0275,0.0253,3.7,0.09361,45013,54153,Pelican Tempe Holdings LLC,Tempe,AZ,85281,561790
4912419101,471750,21469.34,0.02,0.0123,3.7,0.04551,45013,54145,"ProCare Rentals LLC; ProCare Pest Services LLC; John Carl Ely, III",Marietta,GA,30066,561710
4913519109,1191000,21152.16,0.0125,0.0048,3.7,0.01776,45002,54147,DESAI HOTELS LLC,Center,TX,75935,721110
4915979100,375000,24697.5,0.02,0.0178,3.7,0.06586,45016,54148,"Dale's Gas Appliance Repair, Inc.",Winter Park,FL,32792,238220
4923569106,367875,24228.25,0.02,0.0178,3.7,0.06586,45014,54146,"Locker Room Mondovi, LLC",Mondovi,WI,54755,458110
4929629101,243750,16053.38,0.02,0.0178,3.7,0.06586,45016,54148,"Eastside Services, LLC",Winter Park,FL,32792,236118
4939679109,562275,25589.14,0.02,0.0123,3.7,0.04551,45014,54146,"JBGH Properties, LLC and J Bernat Corporation DBA Bernat Landscaping and K M Bernat Construction Inc",Homer Glen,IL,60491,561730
4942309104,3750000,31912.5,0.01,0.0023,3.7,0.00851,45015,54147,Parth Lodging LLC dba Days Inn Harrisburg North,Harrisburg,PA,17110,721110
4947809100,3112500,55278,0.0125,0.0048,3.7,0.01776,45015,54147,ISHAKAUR PROPERTIES LLC,Roanoke,VA,24019,721110
4949079110,500250,27393.69,0.0225,0.0148,3.7,0.05476,45013,54148,FUTURE DAYS LLC,Portland,OR,97212,722511
4950749107,2185050.93,38806.5,0.0125,0.0048,3.7,0.01776,45015,54147,Bennettsville Investment Group LLC,Bennettsville,SC,29512,721110
4927629108,171513.29,31245.43,0.04,0.05205,3.5,0.182175,45035,50514,Second Street Arms LLC,Salem,OH,44460,459110
2851689108,1216999.26,119478.9,0.02,0.02805,3.5,0.098175,44558,50523,"Sunshine Express on Missouri, LLC",Clearwater,FL,33756,811192
4199339105,632647.19,63438.7,0.02,0.02865,3.5,0.100275,44804,50374,4Memories LLC,Houston,TX,77087,812310
4404379106,1406250,113449.22,0.015,0.02305,3.5,0.080675,44993,50472,RQK Enterprises  LLC,Matawan,NJ,7747,722511
4716259104,675000,78080.63,0.025,0.03305,3.5,0.115675,44958,50438,AG Harrison Holding LLC & AG Harrison Liquor LLC dba Harrison Liquor and Wine Market ,Lincoln Park,MI,48146,445320
4734719104,837460.53,67562.13,0.015,0.02305,3.5,0.080675,44935,50787,EUNA A EIM DBA YO SUSHI,Fairfield,CA,94533,722511
4908299110,1127250,130394.64,0.025,0.03305,3.5,0.115675,45044,50523,"Four of a Kind, LLC dba Rocking V Cafe",Kanab,UT,84741,722511
4917029101,1075500,105587.21,0.02,0.02805,3.5,0.098175,45009,50488,"Birdies Double, LLC",Marshall ,TX,75670,441340
4991639105,420161.94,30220.15,0.0125,0.02055,3.5,0.071925,45041,50520,LALIT INC.,Chicago,IL,60636,445131
1330449106,1345201.84,113481.23,0.0275,0.0228,3.7,0.08436,44438,53751,Sobrius at Galax LLC       (Formally Bridges for Recovery),Galax,VA,24333,621420
3888869101,399953.81,26488.94,0.0275,0.0179,3.7,0.06623,44687,53818,"All In Off the Grid, LLC/Camp Free or Die, LLC",Rumney,NH,3266,721214
3908119108,475275,18288.58,0.02,0.0104,3.7,0.03848,44729,53860,Hester General Store,Easley,SC,29640,311811
4210259107,223199.02,8506.11,0.015,0.0103,3.7,0.03811,44855,54078,Rmc of Cape Girardeau,Cape Girardeau,MO,63701,722513
4240618810,814695.16,23512.1,0.0125,0.0078,3.7,0.02886,44354,53485,"Fighting Suirrel Holdings, LLC",Dallas,TX,75207,541820
4270299110,585000,22510.8,0.02,0.0104,3.7,0.03848,44827,54143,INJECTOLOGY AESTHETICS LLC,Yuba City,CA ,95991,621111
4334629102,1181796.33,10057.09,0.0125,0.0023,3.7,0.00851,44854,53985,HIMALAYAN MART 1 LLC                    ,Saginaw,TX,76179,457110
4403259103,227906.25,12901.77,0.02,0.0153,3.7,0.05661,44865,54178,"E and B Stables, LLC",Powder Springs,GA,30127,812910
4404589110,889920.72,15804.99,0.015,0.0048,3.7,0.01776,44866,53997,SPINE AND WELLNESS MANAGEMENT LLC,Pahrump,NV,89048,621310
